Index,Name,Age,Gender,Nationality,Years Active,Genre Specialization,Beauty,Skill Level,Education Level,Award Wins,Media Mentions,Social Media Followers,Social Media Likes,Network Size,Income
77,Abigail Ruiz,39,Male,USA,18,Drama,5.8,11.12,Graduate,9,34,14230,4968,24,666198.42
78,Rachel Payne,29,Female,USA,11,Drama,8.11,9.97,High School,8,39,17462,5294,24,575791.63
79,John Black,42,Female,USA,10,Drama,6.87,9.52,Graduate,6,42,17667,5237,23,420528.36
80,Michael Melton PhD,25,Female,USA,7,Comedy,6.3,0.67,High School,5,39,16371,5146,24,342946.18
81,Keith Ritter,29,Female,USA,11,Musical,9.74,4.46,High School,5,39,16078,5108,22,449354.69
82,Christopher Myers,50,Female,Canada,21,Drama,8.23,8.73,College,10,34,17212,4892,26,1010793.38
83,Jessica Wilson,54,Male,USA,12,Action,3.69,9.46,College,7,35,16938,4957,27,438378.73
84,Christian Sanchez,23,Female,USA,5,Drama,9.81,4.95,Graduate,5,39,17473,5117,28,525692.14
85,Michael Ellis,29,Female,USA,11,Action,9.79,4.79,University,8,32,17465,5359,27,955080.42
86,Andrew Stokes,35,Male,USA,16,Sci-Fi,9.55,18.74,Graduate,12,33,15249,4845,25,641533.34
87,Lisa Torres,32,Female,USA,14,Comedy,8.59,5.16,High School,7,33,16317,5155,19,878885.2
88,Brandy Joyce,32,Male,USA,14,Horror,7.7,7.1,High School,7,40,17796,5549,25,607144.93
89,Diana Cervantes,43,Male,USA,14,Comedy,5.19,6.0,University,7,35,13039,4614,29,556922.06
90,Roy Jordan,41,Male,USA,12,Comedy,9.54,11.07,College,12,41,15293,4949,28,1300991.35
91,Danielle Thomas,33,Female,USA,15,Comedy,6.88,1.33,University,5,42,18319,4786,25,683142.24
92,William Perez,18,Female,USA,0,Comedy,6.16,5.48,University,6,27,17447,4988,24,358112.26
93,Amanda Clark,36,Male,USA,18,Action,9.58,8.67,High School,8,37,17283,5007,25,1209236.7
94,Lorraine Sparks,31,Female,USA,13,Action,9.62,8.09,High School,8,40,19141,5941,22,1073084.81
95,Mrs. Lisa Walter,21,Female,USA,3,Musical,7.45,2.64,University,5,34,15781,5371,20,341201.11
96,Stacey Williams,18,Male,USA,0,Comedy,4.47,5.37,College,4,44,18389,5052,22,419281.21
97,Barbara Dillon,42,Female,USA,10,Action,10.97,8.09,College,10,26,18038,5577,30,1281690.19
98,Nicole Clark,41,Male,Canada,17,Drama,11.03,8.05,Graduate,9,41,16418,4925,26,997892.72
99,Leah Miller,34,Female,USA,16,Drama,9.42,2.23,University,7,40,17304,4880,22,756710.32
100,Christopher Jones,50,Male,USA,11,Action,6.19,3.44,University,5,44,17025,5062,20,426458.45
101,Annette Mills,44,Male,USA,17,Comedy,8.01,8.23,High School,11,32,14554,4689,23,988404.4
102,Reginald Zamora,31,Female,USA,13,Drama,8.04,5.33,Graduate,6,34,13661,4655,20,507552.08
103,Laura Howell,28,Male,USA,10,Musical,8.81,8.23,High School,6,45,18591,5319,33,439957.3
104,Michael Carter,28,Female,USA,10,Comedy,8.39,1.39,High School,8,40,14932,4564,22,812795.22
105,Tony Kim,36,Male,USA,18,Action,5.78,4.45,High School,9,52,18002,5034,18,1119675.15
106,Christopher Barton,31,Female,USA,13,Comedy,7.15,17.25,University,12,47,19966,5729,33,1109133.04
107,Angela Clark,23,Female,USA,5,Drama,8.85,14.43,Graduate,7,31,16019,4772,23,547526.18
108,Edward Martinez,33,Female,USA,11,Comedy,10.04,13.12,University,14,40,19398,5610,36,1947920.09
109,Elizabeth James,28,Female,USA,10,Comedy,8.8,14.71,University,11,60,18211,4992,22,602071.26
110,Charles Mercer,23,Female,USA,5,Comedy,9.91,15.27,University,9,48,15581,4900,22,600583.35
111,Nicole Johnson,29,Male,USA,11,Drama,5.86,6.53,University,6,41,17628,5493,27,600380.42
112,Mrs. Megan Simmons,41,Male,USA,15,Drama,10.8,8.36,University,7,41,17123,5037,22,799712.59
113,Dawn Lewis,39,Female,USA,10,Musical,9.06,9.93,College,8,42,18626,5500,20,813237.77
114,Paula Turner,32,Male,Canada,13,Action,6.93,9.88,College,9,38,17514,5330,24,892351.34
115,Katrina Bryant,45,Male,USA,14,Drama,7.25,13.68,College,8,49,15540,5255,26,534128.99
116,Mr. Lawrence Jackson DDS,52,Male,USA,18,Action,5.28,1.43,College,3,57,18639,5281,25,571228.35
117,Nicole Perez,35,Female,USA,17,Drama,5.5,5.9,High School,9,45,17690,5467,31,1007199.61
118,Joseph Clements,47,Female,USA,18,Comedy,7.77,12.82,University,10,31,22749,5746,24,1127338.98
119,Jeanne Villanueva,33,Male,USA,11,Action,7.11,7.29,University,7,34,17370,5424,23,791446.84
120,Pamela Bernard,37,Female,Canada,19,Comedy,8.42,13.9,College,14,28,14320,4326,25,1196873.45
121,Jeffrey Phillips,40,Male,USA,16,Comedy,8.2,15.23,Graduate,7,37,14499,5086,25,702203.1
122,Stephen Robinson,28,Female,Canada,10,Drama,9.03,4.01,High School,6,37,14396,5195,30,480469.84
123,Barbara Lee,52,Male,Canada,19,Comedy,9.09,7.16,College,9,49,16197,5043,18,1366343.25
124,Daniel Deleon,53,Male,USA,16,Action,6.96,9.18,College,8,36,17080,4915,25,695020.71
125,Darren Solis,25,Male,USA,7,Sci-Fi,7.55,4.36,High School,6,35,16531,4861,24,402412.61
126,Kimberly Gomez,19,Female,USA,1,Comedy,11.76,10.45,College,6,42,14066,5049,25,457282.03
127,Lisa Perez,49,Male,USA,11,Action,3.68,8.38,College,8,40,15913,4775,29,597253.85
128,Michael Ellis,29,Female,USA,11,Action,9.79,4.79,University,8,32,17465,5359,27,955080.42
129,Marvin Phillips,31,Female,USA,13,Drama,8.56,6.65,College,7,25,16408,4990,29,703588.46
130,Andrew Allen,40,Male,USA,12,Comedy,6.72,6.4,High School,6,30,18748,5461,33,527688.58
131,Dwayne Fox,42,Female,USA,19,Comedy,6.92,5.72,College,8,40,17899,5196,29,781325.03
132,Kenneth Allen,21,Female,USA,3,Action,7.14,7.99,Graduate,6,37,18272,5462,27,640771.54
133,Michael Moody,58,Male,USA,14,Action,5.97,8.81,College,8,48,18370,4843,23,691315.78
134,Melissa Kaiser,54,Female,Canada,13,Comedy,7.77,7.34,High School,8,29,15599,4874,24,671323.81
135,Kelly Anderson MD,23,Female,USA,5,Drama,6.2,4.14,University,6,54,19906,5375,19,629712.57
136,Larry Martin,29,Female,USA,11,Comedy,4.99,7.81,College,9,28,14281,4537,21,732233.68
137,Jacob Smith,25,Male,USA,7,Comedy,7.34,5.98,High School,6,34,17094,5119,29,336927.95
138,Christopher Hudson,31,Male,USA,13,Sci-Fi,6.2,8.17,High School,11,27,16336,5248,20,850193.96
139,Troy Parker,35,Female,USA,10,Comedy,5.85,10.13,High School,10,40,14816,4858,29,623602.99
140,Dylan Lopez,28,Female,USA,10,Action,6.0,7.55,College,8,33,17114,4829,21,608519.83
141,Christine Welch,22,Female,USA,4,Action,6.98,10.25,College,6,41,16876,5266,26,451228.26
142,Aimee Anderson,32,Female,USA,13,Action,9.13,8.21,University,9,57,18296,5140,28,1125526.22
143,Krystal Scott,50,Male,USA,10,Drama,8.45,5.39,College,7,34,14618,5347,33,631280.9
144,Erika Ward,19,Male,USA,1,Action,6.72,7.29,Graduate,6,39,16341,4996,23,453028.63
145,John Walker,49,Female,USA,13,Comedy,8.99,7.89,College,9,41,16687,5014,20,968057.67
146,Kristie Rivera,59,Male,USA,20,Action,6.48,6.69,University,11,33,14881,4906,24,1239273.87
147,Thomas Phillips,46,Female,USA,12,Sci-Fi,8.78,4.74,High School,8,44,19555,5984,29,1024424.5
148,Jesse Hammond,52,Male,USA,18,Action,6.98,7.02,Graduate,8,41,17496,4731,25,1069174.47
149,Lindsey Sanders,26,Female,USA,8,Action,6.48,6.21,Graduate,8,42,17442,5246,24,631415.46
150,Carla Lang,44,Male,USA,10,Action,5.78,3.63,College,6,40,15489,4841,21,434361.89
151,Andrew Zavala,37,Female,USA,14,Comedy,5.6,12.59,College,9,45,16806,5316,25,570178.96
152,Andrew Wilson MD,39,Female,USA,10,Action,8.04,4.33,University,6,43,17401,4995,24,908768.66
153,Nancy Solomon,32,Female,USA,14,Comedy,11.41,12.72,Graduate,8,45,18970,5199,27,1298202.84
154,Craig Navarro,26,Female,Canada,8,Horror,7.52,5.02,High School,5,22,14151,4805,24,377699.42
155,Donald Jones,39,Female,Canada,15,Drama,7.29,7.86,University,10,47,19342,5532,20,1239251.97
156,Lisa Davenport,20,Female,USA,2,Sci-Fi,8.66,7.07,Graduate,4,40,16331,4581,27,435204.98
157,Jessica Hill,32,Female,Canada,14,Drama,11.39,5.52,High School,9,32,19211,5417,18,1000291.22
158,Robin Hernandez,29,Female,USA,11,Drama,8.77,13.72,High School,12,38,16571,5112,18,885841.62
159,James Davis,36,Male,USA,17,Drama,8.65,7.66,University,7,26,13996,4998,20,668070.68
160,Michelle Weaver,18,Female,USA,0,Drama,11.2,10.47,University,4,48,17360,4883,23,413851.21
161,William Nolan,47,Male,USA,20,Action,6.43,5.79,University,9,37,17417,4943,26,1303575.92
162,Norma Sims,51,Male,Canada,16,Sci-Fi,6.16,0.6,College,3,39,16522,4497,21,505210.98
163,Kylie Osborn,41,Male,USA,10,Action,5.51,6.25,Graduate,6,48,16133,5122,22,304005.69
164,Laura Hardy,49,Female,USA,16,Drama,6.51,7.47,Graduate,8,36,14231,5044,22,670786.49
165,Christina Douglas,51,Female,USA,12,Drama,9.68,10.56,University,9,43,16585,5290,32,805741.38
166,Ronald Watson,46,Male,Canada,11,Drama,6.86,6.19,Graduate,8,43,16824,5214,27,752901.08
167,Ronald Morris,33,Male,USA,14,Horror,7.24,8.67,College,8,34,15904,4685,23,553262.64
168,Dorothy Ross,26,Female,USA,8,Horror,8.98,9.38,University,9,34,17704,5051,25,862372.08
169,Kevin Patterson,29,Female,USA,11,Musical,10.42,13.17,University,9,45,19291,5176,21,588865.92
170,Mario Pearson,32,Female,USA,14,Drama,9.98,7.68,College,7,39,15902,4999,23,798502.55
171,Terry Jacobs,37,Male,USA,18,Comedy,11.15,12.05,Graduate,10,41,15104,5562,38,1048732.62
172,Mathew Campos,38,Female,USA,15,Musical,8.01,6.23,College,6,29,16728,5340,23,515012.01
173,Sandra Anderson,42,Female,USA,16,Drama,5.99,6.16,University,8,48,17450,5520,25,587562.52
174,Heather Harrington,22,Female,USA,4,Drama,10.49,4.68,Graduate,6,33,14690,4572,23,530675.88
175,Brandon Dominguez,20,Female,USA,2,Drama,8.47,7.28,High School,7,46,20923,5350,27,748031.35
176,Erica Davies,49,Female,USA,13,Comedy,6.75,12.8,High School,12,36,18991,5363,24,845144.01
177,Mike Harper,50,Male,Canada,15,Action,5.78,3.65,University,4,47,19694,5472,27,496613.13
178,Dana Martin,45,Male,USA,15,Sci-Fi,8.14,5.23,High School,7,38,15682,4885,23,627507.35
179,Megan Wilson,25,Female,Canada,7,Action,5.32,4.66,Graduate,5,48,17038,5205,26,498028.17
180,Michael Thomas,40,Male,USA,16,Sci-Fi,6.88,4.48,High School,7,31,15827,5407,27,562261.8
181,Ryan Combs,46,Female,USA,17,Action,6.85,7.5,High School,9,44,19037,5087,21,1185365.45
182,Stephanie Hood,48,Female,USA,14,Comedy,6.97,4.77,University,7,34,14787,5174,20,534391.66
183,Ralph Erickson,38,Male,USA,17,Horror,4.94,8.51,University,10,46,16917,5737,30,808338.11
184,Amanda George,34,Male,USA,16,Action,6.51,6.24,Graduate,9,32,16088,5230,26,816496.28
185,Benjamin Davis,22,Female,USA,4,Drama,8.67,11.33,High School,7,39,15094,5294,28,428460.94
186,Valerie Ball,41,Female,USA,15,Drama,9.22,6.86,College,7,39,16293,5216,19,796674.61
187,Terry Torres,32,Male,USA,9,Sci-Fi,7.09,9.96,Graduate,6,44,17249,5151,28,524568.19
188,Matthew Scott,39,Female,USA,18,Musical,7.53,11.67,University,12,37,17032,5042,23,1067351.68
189,Gregory Berry,36,Male,USA,12,Action,5.66,6.22,University,8,46,17793,5305,24,759289.41
190,Maxwell Thompson,28,Female,USA,10,Drama,10.73,6.74,High School,7,35,15837,4914,23,572535.75
191,Joanne Cochran DVM,30,Female,USA,12,Musical,7.05,6.58,College,8,40,15515,5063,24,463325.51
192,Cynthia Henson,40,Female,Canada,10,Comedy,6.24,6.63,College,8,43,16859,5049,20,514771.63
193,Kelly Morales,39,Female,USA,17,Drama,6.5,8.27,University,7,44,15310,4674,24,591414.86
194,Sean Johns,32,Female,USA,14,Action,4.3,0.1,College,6,41,17924,5061,23,568944.88
195,Kimberly Smith,42,Female,USA,12,Musical,12.74,7.62,High School,8,39,16970,5034,24,903574.05
196,Sara Morales,31,Female,USA,10,Drama,8.93,8.22,University,7,50,18232,5413,34,622402.66
197,John Watson,46,Male,USA,16,Sci-Fi,6.92,14.77,Graduate,13,46,19295,5227,24,1347299.9
198,Hayden Shannon,34,Female,Canada,13,Comedy,10.96,15.06,College,12,37,16467,4966,32,1294677.66
199,Joanna Riggs,36,Female,USA,15,Musical,7.9,7.07,High School,10,38,21556,6170,40,824288.64
200,William Schroeder,45,Male,USA,15,Horror,6.47,7.09,College,7,34,17103,5010,24,605813.88
201,Laurie Smith,32,Female,USA,14,Drama,10.14,4.81,University,5,33,14957,5061,22,618390.59
202,Brian Burgess,43,Male,USA,12,Sci-Fi,6.76,8.81,College,8,47,16251,5136,31,609561.61
203,Brooke Santiago,20,Female,USA,2,Action,7.41,7.26,High School,6,48,16741,4793,25,519177.26
204,David Johnson,24,Female,USA,6,Drama,7.02,9.09,University,5,30,14967,4963,21,331282.46
205,Jacob White,53,Male,USA,21,Comedy,4.66,3.33,University,5,41,18580,4944,31,953479.87
206,Jeffrey Ellis,41,Male,USA,11,Sci-Fi,7.15,4.64,University,7,32,18829,5407,25,693527.25
207,Kenneth Ross,38,Female,USA,12,Drama,5.93,7.89,University,10,30,14844,5118,26,773216.99
208,Hayley Kent,34,Female,USA,16,Action,5.96,8.92,Graduate,8,33,13586,4446,19,823430.43
209,Melissa Crawford,46,Male,USA,22,Comedy,5.18,5.8,University,9,40,16930,4734,21,1131507.34
210,Patrick Sparks,53,Female,USA,18,Drama,7.36,10.57,College,12,31,15205,4749,28,785473.44
211,Leah Barker,47,Male,Canada,17,Horror,6.96,3.37,High School,6,39,16826,5249,30,640854.15
212,Colton Franklin,21,Female,USA,3,Musical,6.49,11.01,University,10,33,14281,4846,25,464714.28
213,Theresa Leblanc,34,Male,USA,8,Sci-Fi,7.19,5.51,College,6,40,15532,4797,26,506982.63
214,Christopher Bean,45,Female,Canada,15,Drama,5.69,7.57,University,9,31,18052,5142,30,1075764.66
215,Sean Morales,50,Male,USA,14,Action,6.26,14.49,Graduate,12,49,19182,5766,29,968574.93
216,Matthew Travis,39,Female,USA,15,Action,10.73,8.6,University,11,42,17949,5203,26,1517327.27
217,Catherine Sandoval,37,Male,USA,14,Drama,8.48,4.82,University,7,44,17641,4891,26,894938.41
218,Audrey Thomas,36,Female,USA,16,Drama,9.58,7.78,High School,9,40,15564,4552,22,807149.83
219,Joy Rivera,33,Female,USA,12,Drama,8.43,8.43,Graduate,10,44,15695,4846,32,817985.74
220,Nathan King,39,Female,USA,14,Drama,8.23,8.2,High School,7,40,16477,5379,20,646555.27
221,Linda Sutton,28,Female,USA,10,Drama,6.86,2.88,College,8,47,15112,5134,24,597382.26
222,Aaron Hayden,34,Male,USA,16,Horror,6.47,5.24,Graduate,7,38,14267,4806,22,704978.33
223,Timothy Harvey,52,Female,USA,21,Comedy,8.88,8.85,High School,11,43,17194,5214,31,1432819.98
224,Andrew Navarro,32,Female,USA,14,Action,9.0,12.63,Graduate,11,40,16122,4958,21,1439072.65
225,Gabrielle Simpson,26,Female,USA,8,Action,8.42,9.73,College,6,31,15668,4623,24,521240.74
226,Thomas George,36,Male,USA,18,Action,6.67,10.0,University,10,35,15045,5030,22,790983.44
227,David Alvarez,34,Female,USA,16,Action,6.57,8.32,University,9,40,16144,5576,30,827763.35
228,Larry Knight,41,Female,Canada,14,Horror,7.23,6.92,College,10,33,16176,5320,27,770901.86
229,Erika Kemp,33,Male,USA,14,Action,4.81,6.65,Graduate,6,47,19126,5469,24,523891.57
230,Taylor Strong,38,Male,USA,12,Sci-Fi,8.12,6.6,College,7,27,15596,4870,27,669541.16
231,Sandra Fox,34,Male,USA,11,Drama,6.04,13.56,University,10,38,13541,4556,22,861280.31
232,Marissa French,38,Male,USA,14,Comedy,6.38,12.59,High School,10,45,13422,5032,22,1002208.21
233,Heather Carlson,24,Male,USA,6,Action,7.87,5.14,College,6,33,15661,4973,23,484163.2
234,Megan Mcdonald,32,Male,USA,13,Sci-Fi,8.6,10.68,College,11,42,18829,5344,19,1242496.15
235,Keith Miller,38,Male,USA,20,Drama,5.57,5.77,High School,8,32,14451,5188,28,706270.1
236,Charles Davis,31,Female,USA,13,Drama,10.33,8.07,College,9,35,13881,4680,20,791146.97
237,Margaret Smith,31,Female,USA,13,Comedy,6.35,1.49,University,4,57,17085,5197,24,530522.38
238,Anthony Garza,33,Male,USA,13,Sci-Fi,7.82,6.43,High School,8,38,16153,4948,26,707076.53
239,Richard Smith,27,Female,USA,9,Drama,8.72,8.07,University,8,52,18070,5411,26,603666.8
240,Sean Torres,30,Female,USA,12,Musical,8.45,10.16,University,11,30,16258,4699,23,998114.98
241,Mark Holland,53,Male,USA,18,Horror,4.16,13.25,Graduate,10,37,16755,5025,21,517512.32
242,Linda Kennedy,37,Female,USA,9,Action,8.77,8.77,High School,8,37,17600,5221,28,814125.32
243,Brandon Smith,36,Male,USA,13,Action,6.03,6.04,College,5,34,15750,4570,19,502798.49
244,Crystal Rojas,38,Female,USA,15,Action,6.64,11.93,University,10,32,13476,5401,21,855557.0
245,Billy Armstrong,24,Male,USA,6,Action,4.97,5.93,University,6,41,16175,4845,22,393355.27
246,Jessica Mason,49,Female,USA,12,Comedy,8.58,12.57,College,10,34,17284,5248,30,761181.76
247,Michael Davis,43,Female,USA,17,Drama,7.73,6.94,University,7,59,20492,5444,23,935677.63
248,Jason Orr,33,Female,USA,9,Drama,9.27,6.31,High School,6,38,18934,5531,29,610747.14
249,Jennifer Taylor,26,Female,Canada,8,Drama,5.68,8.95,University,7,49,20015,5274,19,534424.91
250,Justin Cannon,35,Male,USA,17,Sci-Fi,6.32,10.34,High School,9,48,18178,5219,28,721356.06
251,Stacy Martinez,23,Female,USA,5,Comedy,8.52,8.01,High School,7,38,16115,4728,26,659599.44
252,Anna Gomez,29,Female,USA,11,Comedy,6.94,6.58,Graduate,4,38,18540,5387,26,456901.65
253,Eric Osborne,41,Male,USA,16,Drama,9.03,14.18,High School,11,38,18946,5230,27,1140604.7
254,Mary Douglas,44,Female,USA,14,Comedy,9.77,9.55,University,9,38,17369,5151,24,1064446.12
255,Kevin Smith,38,Female,Canada,11,Drama,9.26,11.16,Graduate,10,39,15178,5320,19,864006.87
256,Katherine Schneider,50,Male,USA,14,Sci-Fi,6.91,12.6,Graduate,10,44,17823,5119,22,899556.95
257,Anthony Robertson,49,Male,USA,17,Drama,4.4,3.12,University,4,39,14973,4532,17,568645.08
258,Latoya Powers,50,Male,USA,11,Action,6.94,8.57,University,6,37,15427,5158,24,433347.83
259,Dillon Ruiz,24,Male,USA,6,Horror,7.18,10.8,Graduate,6,46,16325,4945,27,253145.27
260,Hailey Myers,31,Female,USA,13,Drama,8.19,2.82,Graduate,6,44,16467,4943,23,687189.98
261,Kathryn Huynh,46,Male,USA,17,Action,8.28,3.7,University,7,36,14263,4655,25,816123.23
